model,family,seeds,f1_max,f1_max_ci_low,f1_max_ci_high,f1_max_threshold,f1_per_seed_std,pr_auc,roc_auc,mcc,precision_f1max,recall_f1max,fpr_f1max,operating_tau,operating_f1,operating_recall,operating_fpr
cnn_lstm,dl,3,0.9735,0.9710,0.9758,0.4598,0.0014,0.9945,0.9923,0.9181,0.9621,0.9852,0.0822,0.4598,0.9712,0.9480,0.0095
xgboost,classical,3,0.9651,0.9634,0.9673,0.1300,0.0000,0.9932,0.9870,0.8885,0.9526,0.9779,0.1036,0.0991,0.9650,0.9797,0.1080
random_forest,classical,3,0.9623,0.9603,0.9646,0.3500,0.0000,0.9922,0.9853,0.8786,0.9423,0.9832,0.1281,0.4750,0.9603,0.9694,0.1054
gru,dl,1,0.9601,0.9583,0.9626,0.2665,0.0000,0.9894,0.9785,0.8725,0.9480,0.9726,0.1136,0.4678,0.9347,0.9001,0.0551
mlp,dl,1,0.9548,0.9525,0.9575,0.2199,0.0000,0.9878,0.9770,0.8548,0.9405,0.9695,0.1306,0.5990,0.9144,0.8650,0.0574
transformer,dl,1,0.9543,0.9521,0.9567,0.3525,0.0000,0.9829,0.9683,0.8519,0.9329,0.9767,0.1497,0.7948,0.8744,0.7975,0.0566
bilstm,dl,1,0.9517,0.9492,0.9541,0.2183,0.0000,0.9868,0.9750,0.8482,0.9503,0.9531,0.1063,0.6202,0.8848,0.8095,0.0433
tcn,dl,1,0.9508,0.9484,0.9532,0.3696,0.0000,0.9818,0.9708,0.8438,0.9437,0.9580,0.1217,0.7153,0.8519,0.7543,0.0354
logistic_regression,classical,3,0.9507,0.9481,0.9535,0.0350,0.0000,0.9732,0.9523,0.8455,0.9506,0.9507,0.1053,0.2651,0.9476,0.9360,0.0844
lstm,dl,1,0.9483,0.9458,0.9510,0.2089,0.0000,0.9876,0.9736,0.8400,0.9530,0.9437,0.0991,0.4057,0.9317,0.8942,0.0538
cnn1d,dl,1,0.9359,0.9333,0.9390,0.2999,0.0000,0.9760,0.9573,0.7972,0.9309,0.9410,0.1488,0.5386,0.8791,0.8004,0.0439
isolation_forest,classical,1,0.9217,0.9189,0.9242,0.3550,0.0000,0.9531,0.9197,0.7384,0.8844,0.9622,0.2678,0.7791,0.5838,0.4155,0.0166
ocsvm,classical,1,0.8661,0.8623,0.8705,0.5150,0.0000,0.8918,0.8312,0.5488,0.8346,0.9001,0.3799,0.8942,0.6090,0.4578,0.0974
vae,dl,1,0.8107,0.8067,0.8150,0.0711,0.0000,0.6119,0.4298,0.0603,0.6819,0.9995,0.9930,0.9990,0.0000,0.0000,0.0000
autoencoder,dl,1,0.8105,0.8064,0.8148,0.0691,0.0000,0.6137,0.4369,0.0526,0.6819,0.9990,0.9929,0.9990,0.0000,0.0000,0.0000
