drift_type,intensity,f1,pr_auc,recall,fpr,psi_mean,psi_max,mmd,drift_alarm
covariate,0.0,0.9432,0.9858,0.9453,0.0254,0.2107,1.4870,0.0182,False
covariate,0.25,0.9250,0.9742,0.9322,0.0619,0.3412,2.6181,0.0853,True
covariate,0.5,0.8900,0.9515,0.9012,0.0974,0.6201,5.2074,0.1483,True
covariate,0.75,0.8340,0.9156,0.8513,0.1311,0.8703,8.4126,0.1981,True
covariate,1.0,0.7625,0.8703,0.7841,0.1702,0.9521,10.7592,0.2300,True
concept,0.0,0.9432,0.9858,0.9453,0.0254,0.2107,1.4870,0.0182,False
concept,0.25,0.9281,0.9758,0.9385,0.0418,0.2351,1.7842,0.0224,False
concept,0.5,0.8954,0.9542,0.9101,0.0721,0.2654,2.1356,0.0273,True
concept,0.75,0.8513,0.9214,0.8704,0.1053,0.2984,2.6105,0.0341,True
concept,1.0,0.7951,0.8841,0.8120,0.1502,0.3417,3.2418,0.0452,True
