model,latency_ms,throughput_eps,nfr3_met,nfr4_met
logistic_regression,0.1805500069167465,42855.58841222674,True,True
mlp,0.24645001394674182,131989.37809168457,True,True
xgboost,0.40600000647827983,68385.2013237792,True,True
lstm,0.42665001819841564,37821.42674168376,True,True
cnn1d,0.4524999822024256,48708.093892241835,True,True
vae,0.62369997613132,35188.03614866009,True,True
autoencoder,0.6872000230941921,35665.77285522873,True,True
bilstm,0.7814499840606004,13000.731274839867,True,True
transformer,0.8816999907139689,22960.156049436097,True,True
cnn_lstm,1.1597000120673329,24560.00658491599,True,True
gru,1.4743500214535743,19678.683962883595,True,True
tcn,1.7043000261764973,22136.52003257497,True,True
ocsvm,2.1983000042382628,681.2262817927576,True,False
isolation_forest,15.727999998489395,10994.627236740509,True,True
random_forest,42.66405000817031,4979.842338029142,True,True
